HYBAS_ID,DATE,Q
214164,1991,27.12
214717,1991,774.69
214949,1991,7.7
215005,1991,93.21
215187,1991,66.27
215485,1991,317.99
215592,1991,25.64
215784,1991,35.39
216022,1991,30.48
216337,1991,39.04
217617,1991,9.67
217915,1991,49.67
200031,1992,52.64
200034,1992,31.59
200066,1992,19.03
200079,1992,6.98
200151,1992,32.98
201545,1992,25.2
202437,1992,76.83
202526,1992,14.12
202597,1992,4.74
204309,1992,205.25
204751,1992,1329.01
204748,1992,145.34
204755,1992,238.05
204753,1992,1354.8
204752,1992,1413.82
204758,1992,88.13
204757,1992,109.99
204756,1992,149.37
204762,1992,238.56
204761,1992,975.25
204770,1992,256.25
204775,1992,185.2
204780,1992,962.82
204788,1992,946.23
204799,1992,79.58
204796,1992,94.28
204801,1992,22.3
204810,1992,69.53
205367,1992,199.01
205365,1992,217.58
205371,1992,287.31
205382,1992,109.42
205588,1992,100.58
205796,1992,23.66
205944,1992,71.47
206172,1992,1493.84
207854,1992,38.99
208161,1992,109.41
208165,1992,34.2
208178,1992,1272.24
208176,1992,1332.35
208181,1992,1239.44
208199,1992,3.96
208725,1992,34.96
209688,1992,34.09
209729,1992,67.98
210357,1992,16.04
210839,1992,8.79
211217,1992,22.73
211454,1992,20.52
211467,1992,17.14
211617,1992,15.99
211723,1992,75.45
212189,1992,68.26
212571,1992,551.92
213348,1992,34.24
213764,1992,7.46
213779,1992,12.18
214164,1992,29.19
214717,1992,756.64
214949,1992,11.98
215005,1992,92.11
215187,1992,67.05
215485,1992,366.25
215592,1992,18.68
215784,1992,33.22
216022,1992,24.86
216337,1992,46.74
217617,1992,9.57
217915,1992,42.02
200031,1993,42.39
200034,1993,25.39
200066,1993,16.66
200079,1993,5.95
200151,1993,52.44
201545,1993,25.25
202437,1993,82.36
202526,1993,17.03
202597,1993,5
204309,1993,184.59
204751,1993,959.46
204748,1993,134.46
204755,1993,175.46
204753,1993,985.07
204752,1993,1038.67
204758,1993,101.13
204757,1993,120.76
204756,1993,108.88
204762,1993,151.49
204761,1993,692.39
204770,1993,262.94
204775,1993,199.79
204780,1993,684.08
204788,1993,674.94
204799,1993,77.54
204796,1993,38.35
204801,1993,10.86
204810,1993,20.21
205367,1993,192.17
205365,1993,217.23
205371,1993,329.37
205382,1993,87.24
205588,1993,88.94
205796,1993,23.3
205944,1993,47.34
206172,1993,1120.89
207854,1993,38.41
208161,1993,50.75
208165,1993,6.01
208178,1993,911.31
208176,1993,962.66
208181,1993,886.11
208199,1993,3.21
208725,1993,29.97
209688,1993,28.95
209729,1993,58.35
210357,1993,13.99
210839,1993,6.16
211217,1993,21.94
211454,1993,17.19
211467,1993,12.7
211617,1993,13.48
211723,1993,66.49
212189,1993,69.79
212571,1993,378.65
213348,1993,30.5
213764,1993,11.31
213779,1993,21.16
214164,1993,23.92
214717,1993,563.62
214949,1993,14.41
215005,1993,73.09
215187,1993,56.51
215485,1993,264.08
215592,1993,32.23
215784,1993,37.59
216022,1993,37.83
216337,1993,35.19
217617,1993,9.53
217915,1993,46.33
200031,1994,50.18
200034,1994,33.2
200066,1994,10.87
200079,1994,4.03
200151,1994,24.92
201545,1994,19.09
202437,1994,51.33
202526,1994,9.23
202597,1994,3.11
204309,1994,227.89
204751,1994,921.52
204748,1994,163.01
204755,1994,223.82
204753,1994,945.5
204752,1994,988.35
204758,1994,50.71
204757,1994,63.64
204756,1994,150.17
204762,1994,152.22
204761,1994,607.55
204770,1994,174.1
204775,1994,132.47
204780,1994,604.41
204788,1994,595.38
204799,1994,71.54
204796,1994,74.88
204801,1994,23.54
204810,1994,58.62
205367,1994,174.64
205365,1994,186.84
205371,1994,264.3
205382,1994,94.88
205588,1994,113.21
205796,1994,17.45
205944,1994,59.21
206172,1994,1046.35
207854,1994,34.12
208161,1994,82.68
208165,1994,25.97
208178,1994,862.9
208176,1994,924.04
208181,1994,839.91
208199,1994,2.42
208725,1994,33.65
209688,1994,22.54
209729,1994,75.32
210357,1994,9.93
210839,1994,4.55
211217,1994,14.46
211454,1994,17.65
211467,1994,13.85
211617,1994,10.3
211723,1994,66.88
212189,1994,50.2
212571,1994,577.24
213348,1994,21.12
213764,1994,5.61
213779,1994,10.04
214164,1994,32.42
214717,1994,821.41
214949,1994,14.45
215005,1994,52.47
215187,1994,74.79
215485,1994,230.27
215592,1994,9.59
215784,1994,16.92
216022,1994,20.8
216337,1994,42.49
217617,1994,9.68
217915,1994,26.14
200031,1995,44.86
200034,1995,27.96
200066,1995,21.45
200079,1995,8.07
200151,1995,33.51
201545,1995,23.64
202437,1995,85.2
202526,1995,18.51
202597,1995,4
204309,1995,182.12
204751,1995,1474.15
204748,1995,127.6
204755,1995,241.17
204753,1995,1494.08
204752,1995,1537.5
204758,1995,93.45
204757,1995,116.77
204756,1995,135.6
204762,1995,152.58
204761,1995,1139.74
204770,1995,206.17
204775,1995,146.87
204780,1995,1123.79
204788,1995,1096
204799,1995,49.47
204796,1995,47.67
204801,1995,20
204810,1995,30.99
205367,1995,75.67
205365,1995,85.82
205371,1995,144.9
205382,1995,29.79
205588,1995,91.83
205796,1995,20.73
205944,1995,16.67
206172,1995,1603.16
207854,1995,32.11
208161,1995,58.57
208165,1995,6.48
208178,1995,1432.62
208176,1995,1476.56
208181,1995,1407.5
208199,1995,2.04
208725,1995,29.81
209688,1995,26.14
209729,1995,61.71
210357,1995,18.06
210839,1995,8.66
211217,1995,24.86
211454,1995,15.76
211467,1995,24.13
211617,1995,12.47
211723,1995,62.58
212189,1995,59.37
212571,1995,386.21
213348,1995,27.24
213764,1995,10.22
213779,1995,17.31
214164,1995,26.74
214717,1995,559.15
214949,1995,4.62
215005,1995,70.96
215187,1995,60.73
215485,1995,254.09
215592,1995,21.81
215784,1995,33.32
216022,1995,25.82
216337,1995,56.07
217617,1995,7.99
217915,1995,40.43
200031,1996,41.3
200034,1996,26.81
200066,1996,16.83
200079,1996,7.04
200151,1996,34.04
201545,1996,23.35
202437,1996,85.66
202526,1996,18.02
202597,1996,2.68
204309,1996,161.28
204751,1996,878.4
204748,1996,111.98
204755,1996,138.72
204753,1996,895.57
204752,1996,930.02
204758,1996,70.13
204757,1996,89.47
204756,1996,79.41
204762,1996,153.23
204761,1996,673.36
204770,1996,200.66
204775,1996,136.99
204780,1996,667.74
204788,1996,658.15
204799,1996,47.45
204796,1996,66.73
204801,1996,14.53
204810,1996,49.64
205367,1996,128.22
205365,1996,146.36
205371,1996,228.71
205382,1996,48.46
205588,1996,80.05
205796,1996,15.53
205944,1996,31.01
206172,1996,975.8
207854,1996,33.83
208161,1996,77.09
208165,1996,27.31
208178,1996,844.67
208176,1996,880.56
208181,1996,826.28
208199,1996,2.09
208725,1996,25.77
209688,1996,22
209729,1996,56.89
210357,1996,16.2
210839,1996,7.98
211217,1996,19.73
211454,1996,15.95
211467,1996,12.62
211617,1996,11.97
211723,1996,53.19
212189,1996,41.71
212571,1996,291.67
213348,1996,21.51
213764,1996,9.87
213779,1996,17.4
214164,1996,24.53
214717,1996,435.03
214949,1996,9.72
215005,1996,56.18
215187,1996,52.41
215485,1996,234.25
215592,1996,19.46
215784,1996,27.4
216022,1996,25.39
216337,1996,31.65
217617,1996,6.42
217915,1996,27.78
200031,1997,45.05
200034,1997,28.82
200066,1997,13.75
200079,1997,5.5
200151,1997,35.64
201545,1997,20.4
202437,1997,76.74
202526,1997,14.72
202597,1997,2.38
