DATE,X200004,X200012,X215451,X214517,X200019,X200023,X200031,X200034,X211592,X205784,X200035,X200040,X200056,X200058
1979-06-02,0,36.984,0,0,0,38.008,0,0,11.063,8.603,1.294,12.63,0,0
1979-06-03,0,69.548,0,0,0,85.133,0,0,1.314,0.046,0,5.145,0,0
1979-06-04,0,26.035,0,0.024,0.011,30.698,23.264,17.774,3.814,0.045,0.021,14.831,18.717,19.507
1979-06-05,0,0.042,0,0,0,0,13.858,27.429,11.971,14.896,18.445,21.065,0,0
1979-06-06,0,21.446,0,0,0,29.792,25.185,22.632,10.229,9.592,12.121,19.499,19.113,21.804
1979-06-07,0,0,0,0,0,0,33.758,36.869,0,0,0,10.43,23.611,21.181
1979-06-08,0,61.241,0,0,0,69.389,13.273,3.238,0.591,0,0,12.423,15.254,15.178
1979-06-09,0,49.386,0,0.005,0,57.137,3.852,13.717,8.314,10.963,14.303,9.491,23.613,26.885
1979-06-10,0,61.078,0,0,0,75.405,16.572,32.422,10.374,9.191,9.81,1.382,42.417,36.76
1979-06-11,0,0,0,0,0,0,0,0,21.968,20.892,23.381,6.262,0,0
1979-06-12,0,30.048,0,0,0,30.841,0,0,21.915,21.3,24.36,27.919,0,0
1979-06-13,0,29.025,0,0.128,0.013,25.218,0,0,7.317,3.155,0,11.836,1.602,8.056
1979-06-14,0,20.068,0,0.082,0.032,27.665,24.12,18.859,0,0,0,0.062,21.049,19.791
1979-06-15,0,26.92,0,0,0,33.579,11.723,14.23,2.021,0,0,0,47.208,51.518
1979-06-16,0,32.344,0,0,0,66.074,16.878,15.261,0,0,3.783,5.761,15.354,15.736
1979-06-17,0,24.751,0,0,0,24.187,21.482,22.541,7.713,9.602,13.091,4.093,14.131,13.245
1979-06-18,0,12.289,0,0,0,19.715,33.717,20.101,3.199,9.092,18.729,7.137,13.56,15.252
1979-06-19,0,0.087,0,0,0,0,18.924,24.146,34.036,37.861,24.828,10.249,23.643,25.65
1979-06-20,0,31.163,0,0,0,34.335,6.527,10.709,17.654,18.753,26.747,9.937,28.016,30.17
1979-06-21,0,11.617,0,0.149,0,21.063,0,0,3.087,0.686,3.575,7.33,0,0
1979-06-22,0,18.221,0,0,0,22.217,18.378,18.672,6.121,12.593,22.99,0,26.37,32.661
1979-06-23,0,24.732,0,0,0,24.658,10.352,12.189,12.644,13.527,19.701,23.43,6.493,3.832
1979-06-24,0,33.652,0,0,0,44.988,12.833,13.727,3.553,8.828,5.747,3.663,5.893,9.683
1979-06-25,0,11.521,0,0,0,17.769,0,0,0,0,0.012,0,0,0
