"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"PRCP","ML","rf","1050023020","MLP","CFSv2",0.429164455548444,0
"PRCP","ML","rf","1050023020","MLP","SEAS51b",0.0869858707361586,0
"PRCP","ML","rf","1050023020","MLP","SEAS51",0.0776770532249367,0
"PRCP","ML","rf","1050023050","RF","CanSIPSIC4",0.592093142522936,1
"PRCP","ML","rf","1050023050","RF","CCSM4",0.199282810134994,0
"PRCP","ML","rf","1050023050","RF","CFSv2",0.1722265749464,0
"PRCP","ML","rf","1050023050","RF","SEAS51c",0.126863475320484,0
"PRCP","ML","rf","1050023050","RF","METEOFRANCE9",-0.199457423941932,0
"PRCP","ML","rf","1050023050","RF","GEOSS2S",-0.536261691138772,0
"PRCP","ML","rf","1050023050","RF","SEAS51",-0.655876789804551,0
"PRCP","ML","rf","1050023050","RF","SEAS51b",-0.669103364572926,0
"PRCP","ML","rf","1050023050","RF","CESM1",-0.761036310621619,0
"PRCP","ML","rf","1050023050","SVMLINEAR","CESM1",0.61838514326121,1
"PRCP","ML","rf","1050023050","SVMLINEAR","SEAS51",0.416334782673664,0
"PRCP","ML","rf","1050023050","SVMLINEAR","CFSv2",0.378192168599166,0
"PRCP","ML","rf","1050023050","SVMLINEAR","SEAS51b",0.356543145069457,0
"PRCP","ML","rf","1050023050","SVMLINEAR","GEOSS2S",0.235050788050829,0
"PRCP","ML","rf","1050023050","SVMLINEAR","CanSIPSIC4",0.193112865097992,0
"PRCP","ML","rf","1050023050","SVMLINEAR","SEAS51c",0.0524048280959223,0
"PRCP","ML","rf","1050023050","SVMLINEAR","CCSM4",-0.0760406657711041,0
"PRCP","ML","rf","1050023050","SVMLINEAR","METEOFRANCE9",-0.58540472273012,0
"PRCP","ML","rf","1050023050","MLP","SEAS51c",0.848688695967441,1
"PRCP","ML","rf","1050023050","MLP","METEOFRANCE9",0.74326237327325,0
"PRCP","ML","rf","1050023050","MLP","CanSIPSIC4",0.738943385528602,0
"PRCP","ML","rf","1050023050","MLP","CFSv2",0.673261751401696,0
"PRCP","ML","rf","1050023050","MLP","CESM1",0.523643202105033,0
