"HYBAS_ID","YYYY","Q","RF","SVMLINEAR","MLP","pred_final"
"Ayensu",19990101,5.02153703703704,4.96454421295428,3.64302471442487,4.83726522776663,4.66540282098766
"Ayensu",20000101,2.88575925925926,5.37289551749238,3.66171396838591,2.8789885707391,3.24058175339508
"Ayensu",20010101,3.98846296296296,2.96832849851023,3.71367225804716,3.08457966052117,3.76170249074069
"Ayensu",20020101,7.61251851851852,6.40461891885587,3.74323056167081,5.78424817255204,7.34914221296292
"Ayensu",20030101,3.27257407407407,2.92103736631994,3.67172961911237,3.08455686399802,3.20865425925921
"Ayensu",20040101,2.10777777777778,2.25796647585845,3.67280486522379,3.08752092093428,2.14434153703703
"Ayensu",20050101,6.3437962962963,3.54780045025587,3.71823200328374,3.08450991960335,5.28161659268074
"Ayensu",20060101,3.41557407407407,3.47713581740086,3.47099008785572,3.42119726254525,3.12918218209874
"Ayensu",20070101,5.33038888888889,4.38538280118313,3.89356034771696,5.32365370723787,5.43613902777776
"Ayensu",20080101,3.56016666666667,5.85225852464393,3.67497253506975,3.61921357394068,4.52333343209878
"Ayensu",20090101,12.0053333333333,5.98839885052977,3.63357665622425,12.0146171246601,9.9572606574074
"Ayensu",20100101,7.4512962962963,5.45262984139544,3.77076154028426,5.67816419618974,6.45519228703704
"Ayensu",20110101,2.78188888888889,5.37289551749238,3.02140417807481,2.8789885707391,3.1268692132716
"Ayensu",20120101,2.6047037037037,2.36083653905056,3.83026994353138,3.08481780413862,2.95182799074074
"Ayensu",20130101,0.754740740740741,2.85155600021378,3.47579251270412,3.08455449351592,1.64169671296298
"Ayensu",20140101,5.88103703703704,3.9140671219256,3.64857016284381,3.08453985384939,4.62872104259261
"Ayensu",20150101,2.3487037037037,5.26694733224842,3.71492951386744,5.75912674861965,3.91580217592597
"Ayensu",20160101,6.01511111111111,6.95878147052133,3.70665026500207,6.19315756860945,6.55714902777775
"Ayensu",20170101,3.89112962962963,3.54780045025587,3.70581550561442,3.08450991960335,4.08309393527336
"Ayensu",20180101,1.66661111111111,3.54780045025587,3.64624131572554,3.08450991960335,2.76557379082893
"Ayensu",20190101,2.99242592592593,3.54780045025587,3.51817372925063,3.08450991960335,2.8696877000882
"Ayensu",20200101,2.97494444444444,3.54780045025587,3.42686187048916,3.08450991960335,2.86479851984128
"Ayensu",20210101,3.48787037037037,NA,3.6339688177054,NA,3.14715316419753
"Ayensu",20220101,3.48787037037037,NA,3.8375898038711,NA,4.85244466358023
"Ayensu",20230101,3.48787037037037,NA,3.56581787713786,NA,3.01847544197532
"Ayensu",20240101,3.48787037037037,NA,3.76052258045716,NA,5.15961892283948
"Ayensu",20250101,3.48787037037037,NA,3.76502311771616,NA,5.15961892283948
"Ayensu",20260101,3.48787037037037,3.3561773760081,3.83682010016252,3.08379957697618,3.98480507407403
"Densu",19930101,10.8853703703704,17.353622366337,20.7243371694242,21.9076786801636,13.9660450601851
"Densu",19940101,12.9199814814815,17.343715735879,20.9294813873462,11.1799302819302,13.591169476852
"Densu",19950101,32.2180555555556,25.5915853542351,20.6720471406751,21.9957889327624,29.5072964259263
"Densu",19960101,31.6352222222222,25.6572748378771,20.4795460910034,26.4697500745258,29.7283799074079
