HYBAS_ID,SUBID,n_UpstreamSubids,POURX,POURY,lon,lat
1060922160,204121,6,4.1445665,7.47288656,4.30573916778881,7.63998291913433
1060926830,200172,1,0.084583,7.5203867,-0.209308507613612,7.46710174619584
1060926840,203846,386,0.2154158,7.20788765,0.191036275825054,7.49217643694914
1060927290,203185,4,-3.3862364,7.35872078,-3.15542801207271,7.17953789390275
1060933920,209436,1,0.2279157,7.29455423,0.406111085825686,7.45745392589486
1060934080,200747,2,0.1745826,7.13955498,0.00229590092003633,7.15291618645269
1060940410,208522,8,2.3012407,7.16205454,2.21040496083987,7.38582207695022
1060940420,208528,48,2.4454069,6.91205549,2.56392484921485,7.20717975729176
1060944990,203142,59,-5.526228,6.90038919,-5.68514937982665,6.9460641520134
1060945000,201441,37,-5.5145612,6.92622232,-5.51123207075101,6.96705861752669
1060956560,201657,4,3.8079014,6.62205696,3.82248130095979,6.83772997760106
1060956780,211579,17,3.8129015,6.60872364,3.90441449105117,6.67274791082241
1060958900,208269,9,4.0629005,6.56372356,4.09706913944823,6.86483140380139
1060959150,207008,16,3.9520676,6.57539034,4.09583646174839,6.54461919461441
1060960280,206127,21,3.4345696,6.59789038,3.27019035656663,6.83955869361561
1060960290,205005,45,3.3987365,6.44455767,3.45323348701424,6.72705847928735
1060961430,202694,391,0.0579164,6.56539059,0.194037035250478,6.89320256466273
1060961650,202092,10,0.00125,6.53372383,-0.222508716247602,6.66075592943411
1060963920,202102,51,2.5404065,6.50539064,2.52747965962068,6.57830796918511
1060964040,210656,7,2.572073,6.45039082,2.79068517700361,6.49503236847337
1060966320,203117,60,-5.3028955,6.49372387,-5.43704186613765,6.72918940514148
1060966570,205194,1,-5.3078957,6.37789106,-5.64124524100555,6.51627774784685
1060970130,207578,42,-7.0978885,6.28705835,-6.99459045894239,6.38582887556673
1060970290,201450,50,-7.0428886,6.24205828,-7.41362510656545,6.45043973300389
1060975230,212791,13,8.4278831,6.14455891,8.38482889452199,6.29988060649171
1060975410,214660,16,8.4295492,6.13955879,8.6951543415392,5.93406369698336
1060979060,207567,11,-6.7945561,6.03872585,-6.67216066793026,6.22530693468954
1060979190,203104,53,-6.7962227,6.03705931,-6.93662477524323,6.16082501186346
1060981230,207173,2,11.3012047,6.03872585,11.034495599818,6.27924648453478
1060981240,215675,1,12.0670347,6.40122461,11.7336043346436,6.66276365100232
1060981750,200713,408,0.6154142,5.96289301,0.535690698666514,6.09248902768157
1060981760,210869,410,0.6495807,5.79455996,0.738481497064096,6.14499808111336
1060982320,208288,34,-4.8112307,6.01705933,-4.74702148031055,6.21918187307975
1060982530,208292,99,-4.8120642,5.92955971,-4.8539064129251,6.01719299946105
1060984030,212464,7,8.0003843,5.90205956,7.875293905639,5.97633331841998
1060984420,216312,32,7.9987178,5.89789295,8.29394021397398,5.80456015635149
1060984430,214827,8,8.9920473,5.88872623,9.04550346294414,5.9324764837954
1060984600,203529,2,9.0662136,5.77872705,9.12732212262948,5.58750209489067
1060994690,203519,3,9.4903784,5.72789383,9.42658677177477,5.40832347016985
1060994700,215817,1,9.6312113,5.58039427,9.72041302159576,5.37004893231914
